loss,mse,val_loss,val_mse,learning_rate
0.009326954372227192,0.009326954372227192,0.004702786449342966,0.004702786449342966,0.0010000000474974513
0.003971532918512821,0.003971532452851534,0.00342501956038177,0.003425019793212414,0.0010000000474974513
0.003251580288633704,0.003251579822972417,0.0038614303339272738,0.0038614303339272738,0.0010000000474974513
0.0028004134073853493,0.0028004134073853493,0.0025058991741389036,0.0025058991741389036,0.0010000000474974513
0.002451644977554679,0.002451644977554679,0.0022725933231413364,0.0022725933231413364,0.0010000000474974513
0.002238432178273797,0.0022384319454431534,0.002088430803269148,0.0020884305704385042,0.0010000000474974513
0.0020811264403164387,0.0020811266731470823,0.001936295535415411,0.001936295535415411,0.0010000000474974513
0.0019371270900592208,0.0019371270900592208,0.0018239202909171581,0.0018239202909171581,0.0010000000474974513
0.001874538604170084,0.001874538604170084,0.0017202005255967379,0.0017202005255967379,0.0010000000474974513
0.0017458231886848807,0.0017458234215155244,0.0016708257608115673,0.0016708255279809237,0.0010000000474974513
0.0016931314021348953,0.0016931314021348953,0.001581439166329801,0.0015814390499144793,0.0010000000474974513
0.0016119886422529817,0.0016119888750836253,0.0015260904328897595,0.0015260905493050814,0.0010000000474974513
0.0015477569540962577,0.0015477569540962577,0.0014821169897913933,0.0014821169897913933,0.0010000000474974513
0.0014042491093277931,0.0014042491093277931,0.0013918972108513117,0.0013918972108513117,0.0005000000237487257
0.0013775109546259046,0.0013775111874565482,0.0013704150915145874,0.0013704149750992656,0.0005000000237487257
0.0013746182667091489,0.0013746182667091489,0.001347654964774847,0.001347654964774847,0.0005000000237487257
0.0013149469159543514,0.0013149467995390296,0.0013108538696542382,0.0013108538696542382,0.0002500000118743628
0.0012984736822545528,0.0012984736822545528,0.0012969025410711765,0.0012969026574864984,0.0002500000118743628
0.0012817938113585114,0.0012817939277738333,0.0012822001008316875,0.0012822001008316875,0.0001250000059371814
0.001272019580937922,0.001272019580937922,0.001271854154765606,0.001271854154765606,0.0001250000059371814
