loss,mae,val_loss,val_mae,learning_rate
0.06732137501239777,0.06732137501239777,0.0468883216381073,0.0468883216381073,0.0010000000474974513
0.04499722272157669,0.04499722272157669,0.04194365814328194,0.04194365814328194,0.0010000000474974513
0.040791384875774384,0.040791384875774384,0.03830511122941971,0.03830511122941971,0.0010000000474974513
0.037974778562784195,0.037974778562784195,0.03593606874346733,0.03593606874346733,0.0010000000474974513
0.03554056957364082,0.03554057329893112,0.036097120493650436,0.03609711304306984,0.0010000000474974513
0.033618535846471786,0.033618535846471786,0.032695792615413666,0.032695792615413666,0.0010000000474974513
0.032162703573703766,0.032162703573703766,0.03164197877049446,0.03164197504520416,0.0010000000474974513
0.03108532540500164,0.03108532540500164,0.03061673603951931,0.03061673603951931,0.0010000000474974513
0.030185822397470474,0.030185827985405922,0.030269762501120567,0.030269762501120567,0.0010000000474974513
0.029339304193854332,0.029339304193854332,0.029102018103003502,0.029102018103003502,0.0010000000474974513
0.028743810951709747,0.028743810951709747,0.02917567454278469,0.02917567454278469,0.0010000000474974513
0.02819311060011387,0.02819310873746872,0.027605880051851273,0.027605880051851273,0.0010000000474974513
0.02766275964677334,0.02766275964677334,0.027118533849716187,0.027118533849716187,0.0010000000474974513
0.027178147807717323,0.027178149670362473,0.027692455798387527,0.027692455798387527,0.0010000000474974513
0.026733357459306717,0.026733357459306717,0.02627946436405182,0.02627946436405182,0.0010000000474974513
0.02639615908265114,0.02639615908265114,0.026410555467009544,0.026410555467009544,0.0010000000474974513
0.026048513129353523,0.026048513129353523,0.026818422600626945,0.026818422600626945,0.0010000000474974513
0.02452784590423107,0.02452784590423107,0.02441163919866085,0.02441163919866085,0.0005000000237487257
0.024396901950240135,0.024396903812885284,0.024211566895246506,0.024211566895246506,0.0005000000237487257
0.024348601698875427,0.02434859797358513,0.02407674305140972,0.02407674305140972,0.0005000000237487257
